Раздел,Поле,Значение
Проект,Название,WISLA АРМ
Проект,Полное название,Модуль мониторинга рабочих станций WISLA АРМ
Проект,Тип,Прототип (MVP) / AI-прототип
Проект,Краткое описание,"Единый реестр и мониторинг АРМ Windows/Linux: агент собирает CPU/RAM/диск, backend оценивает пороги (Zabbix-шаблоны), оператор видит метрики, события и получает алерты в UI, Telegram и Email."
Проект,Проблема,"Разрозненный контроль рабочих станций: нет единого реестра, истории метрик, автоматических инцидентов и уведомлений для техподдержки."
Проект,Решение,"Лёгкий Go-агент + сервер на базе форка NetworckScaner: ingest API, TimescaleDB, Angular UI, пороги arm-linux/arm-windows, журнал событий, SMTP/Telegram."
Проект,Целевая аудитория,"Инженеры техподдержки, операторы мониторинга, администраторы ИТ"
Проект,Масштаб v2,до 5000 АРМ
Проект,Пилот MVP,2 VM (pilot-linux-01 + pilot-windows-01)
Команда,Размер,2 разработчика
Команда,Роли,"Backend/архитектура + Frontend/демо (уточните ФИО в таблице)"
Технологии,Агент,Go (gopsutil) — Windows + Linux
Технологии,Backend,Spring Boot 3.4 (профиль wisla-arm) — Java 17
Технологии,Frontend,Angular 21 + PrimeNG
Технологии,БД,TimescaleDB / PostgreSQL 16
Технологии,Шаблоны мониторинга,arm-linux.template / arm-windows.template (Zabbix-совместимые)
Технологии,Уведомления,SMTP (Яндекс) + Telegram Bot API
Технологии,Аутентификация,JWT; локальные пользователи + LDAP (демо OpenLDAP)
Технологии,Инфраструктура,Docker (TimescaleDB); backend/frontend/agent на хосте
Ссылки,Репозиторий,https://github.com/Serafim85/ARM
Ссылки,Архитектура (диаграммы),https://github.com/Serafim85/ARM/blob/main/docs/architecture/ARCHITECTURE-DIAGRAM.md
Ссылки,UI (демо),http://localhost:3000
Ссылки,API / Swagger,http://localhost:8081/swagger-ui.html
Демо,Длительность,~12 мин (5 демо + 2 история разработки + 5 Q&A)
Демо,Учётные данные UI,admin@example.com / password
Демо,Сценарий 1,Вход и реестр АРМ (Online/Offline)
Демо,Сценарий 2,Карточка Linux — графики CPU/RAM/диск
Демo,Сценарий 3,Логи и события (BSoD)
Демо,Сценарий 4,Авария: диск >95% → События OPEN + Telegram
Демо,Сценарий 5,Resolve инцидента
Демо,Сценарий 6,Windows АРМ в реестре
Демо,Сценарий 7,Отчёт XLSX парка + рекомендации
Демо,Сценарий 8,LDAP вход (задел v1)
Функции MVP,Реестр АРМ,✅ Реализовано
Функции MVP,Агент Win/Linux,✅ Реализовано
Функции MVP,Ingest API (HTTPS + API-key),✅ Реализовано
Функции MVP,Метрики и история (TimescaleDB),✅ Реализовано
Функции MVP,Пороги и инциденты (monitoring_events),✅ Реализовано
Функции MVP,Журнал «События» в UI,✅ Реализовано
Функции MVP,Алерты Telegram,✅ Реализовано (live)
Функции MVP,Алерты Email SMTP,✅ Настроено (Яндекс ingeborg21@yandex.ru; пароль приложения с задержкой активации)
Функции MVP,Логи warning/error в карточке,✅ Реализовано
Функции MVP,Мобильная вёрстка UI,✅ Базово
Функции MVP,Отчёт XLSX,✅ Реализовано
Функции MVP,LDAP,✅ Демо (OpenLDAP + UI)
Функции v1,Политики с сервера для агента,⏳ Запланировано
Функции v1,Интеграция центральной WISLA / Kafka,⏳ v2
Функции v1,Масштаб 50–300 АРМ,⏳ Запланировано
Функции waived,Безагентный WinRM/SSH,❌ Снято по согласованию
Функции waived,SNMP / сканирование сети NS,❌ Вне scope АРМ
Критерии прототипа,Работоспособность end-to-end,✅ Агент → ingest → БД → UI → алерт
Критерии прототипа,Практическая ценность,✅ Снижение MTTR для ТП; единый реестр и инциденты
Критерии прототипа,Переиспользование,✅ Форк NetworckScaner: monitoring notifications users UI
Критерии прототипа,Расширяемость,✅ Шаблоны .template; задел WislaIntegrationPort
Критерии прототипа,Документация,✅ ARCHITECTURE-DIAGRAM DEMO-RUNBOOK трекинг требований
Риски / ограничения MVP,Почта Яндекс,Пароль приложения активируется 2–3 ч; на демо — Telegram + UI
Риски / ограничения MVP,Kafka / WISLA hub,Отключено в MVP
Риски / ограничения MVP,Локальный буфер агента,В roadmap MVP частично
